"Iteration: Iteration","CFL Number Monitor: CFL Number"
406,200
407,200
408,200
409,200
410,200
411,200
412,200
413,187.41554555652198
414,200
415,173.24469289863421
416,190.56916218849764
417,164.32537838524618
418,180.75791622377082
419,155.86526507483691
420,171.45179158232062
421,147.84071149310915
422,162.62478264242009
423,140.22929332134655
424,154.25222265348123
425,133.00974073248284
426,146.31071480573112
427,126.1618789533555
428,138.77806684869105
429,119.66657188704689
430,131.63322907575159
431,113.50566863776794
432,124.85623550154475
433,107.6619527888501
434,118.42814806773512
435,130.27096287450865
436,121.67175231506874
437,133.83892754657563
438,147.22282030123321
439,161.94510233135654
440,178.13961256449221
441,195.95357382094144
442,200
443,200
444,200
445,200
446,200
447,200
448,200
449,200
450,200
451,200
452,200
453,200
454,200
455,200
456,200
457,200
458,200
459,200
460,200
461,200
462,200
463,200
464,200
465,200
466,200
467,200
468,200
469,200
470,200
471,200
472,187.41554555652198
473,200
474,173.24469289863421
475,190.56916218849764
476,164.32537838524618
477,180.75791622377082
478,198.83370784614792
479,200
480,200
481,200
482,200
483,200
484,200
485,200
486,200
487,200
488,200
489,200
490,200
491,200
492,200
493,200
494,200
495,200
496,200
497,200
498,200
499,200
500,200
501,200
502,200
503,200
504,200
505,200
506,200
507,200
508,200
509,200
510,200
511,200
512,200
513,200
514,200
515,200
516,200
517,200
518,200
519,200
520,200
521,200
522,200
523,200
524,200
525,200
526,187.41554555652198
527,200
528,200
529,200
530,200
531,200
532,200
533,200
534,200
535,200
536,200
537,200
538,200
539,200
540,200
541,187.41554555652198
542,200
543,173.24469289863421
544,190.56916218849764
545,200
546,200
547,200
548,200
549,200
550,200
551,200
552,200
553,200
554,200
555,200
556,200
557,200
558,200
559,200
560,200
561,200
562,200
563,200
564,200
565,200
566,200
567,200
568,200
569,200
570,200
571,200
572,200
573,200
574,200
575,200
576,200
577,200
578,200
579,200
580,200
581,200
582,200
583,200
584,200
585,200
586,200
587,200
588,200
589,200
590,200
591,200
592,200
593,200
594,200
595,200
596,200
597,200
598,200
599,200
600,174.86488713110452
601,192.351375844215
602,200
603,187.16247254820979
604,200
605,200
606,200
607,187.41554555652198
608,200
609,200
610,187.41554555652198
611,200
612,200
613,187.41554555652198
614,200
615,200
616,187.41554555652198
617,200
618,173.24469289863421
619,190.56916218849764
620,164.32537838524618
621,180.75791622377082
622,155.86526507483691
623,171.45179158232062
624,188.59697074055271
625,200
626,200
627,200
628,200
629,200
630,200
631,200
632,200
633,200
634,200
635,200
636,200
637,200
638,200
639,200
640,200
641,200
642,200
643,200
644,200
645,200
646,200
647,200
648,200
649,200
650,200
651,200
652,200
653,200
654,200
655,200
656,200
657,200
658,200
659,200
660,200
661,200
662,200
663,200
664,200
665,200
666,200
667,174.86488713110452
668,192.351375844215
669,200
670,187.16247254820979
671,200
672,200
673,187.41554555652198
674,200
675,200
676,200
677,200
678,200
679,200
680,200
681,200
682,200
683,200
684,200
685,200
686,200
687,200
688,200
689,200
690,200
691,200
692,200
693,200
694,200
695,200
696,200
697,200
698,200
699,200
700,200
701,200
702,200
703,200
704,200
705,200
706,200
707,200
708,200
709,200
710,200
711,200
712,200
713,200
714,200
715,200
716,200
717,200
718,200
719,200
720,200
721,200
722,200
723,200
724,200
725,200
726,200
727,200
728,200
729,200
730,200
731,200
732,200
733,200
734,200
735,200
736,174.86488713110452
737,192.351375844215
738,200
739,173.90360773878481
740,191.2939685126633
741,200
742,173.76510231411325
743,191.14161254552459
744,200
745,173.74502868608695
746,191.11953155469567
747,200
748,173.74211694711096
749,191.11632864182207
750,200
751,173.74169453895794
752,191.11586399285375
753,200
754,200
755,200
756,200
757,200
758,200
759,200
760,200
761,200
762,200
763,200
764,200
765,200
766,200
767,200
768,200
769,200
770,200
771,200
772,200
773,200
774,200
775,200
776,200
777,200
778,200
779,200
780,200
781,200
782,200
783,200
784,200
785,200
786,200
787,200
788,200
789,200
790,200
791,200
792,200
793,200
794,200
795,200
796,200
797,200
798,200
799,200
800,200
801,200
802,200
803,200
804,200
805,200
806,200
807,200
808,200
809,200
810,200
811,200
812,200
813,200
814,174.86488713110452
815,192.351375844215
816,200
817,173.90360773878481
818,191.2939685126633
819,200
820,173.76510231411325
821,191.14161254552459
822,200
823,200
824,200
825,200
826,200
827,200
828,200
829,200
830,200
831,200
832,200
833,200
834,200
835,200
836,200
837,200
838,200
839,200
840,200
841,200
842,200
843,200
844,200
845,200
846,200
847,200
848,200
849,200
850,200
851,200
852,200
853,200
854,200
855,200
856,200
857,200
858,200
859,200
860,200
861,200
862,200
863,200
864,200
865,200
866,200
867,200
868,200
869,200
870,200
871,200
872,200
873,200
874,200
875,200
876,200
877,200
878,200
879,200
880,200
881,200
882,200
883,200
884,200
885,200
886,200
887,200
888,200
889,200
890,200
891,200
892,200
893,200
894,200
895,200
896,200
897,200
898,200
899,200
900,200
901,200
902,200
903,200
904,200
905,200
906,200
907,200
908,200
909,200
910,200
911,200
912,200
913,200
914,200
915,200
916,200
917,200
918,200
919,200
920,200
921,200
922,200
923,200
924,200
925,200
926,200
927,200
928,200
929,200
930,200
931,200
932,200
933,200
934,200
935,200
936,200
937,200
938,200
939,200
940,200
941,200
942,200
943,200
944,200
945,200
946,200
947,200
948,200
949,200
950,200
951,200
952,200
953,200
954,200
955,200
956,200
957,200
958,200
959,200
960,200
961,200
962,200
963,200
964,200
965,200
966,200
967,200
968,200
969,200
970,200
971,200
972,200
973,200
974,200
975,200
976,200
977,200
978,200
979,200
980,200
981,200
982,200
983,200
984,200
985,200
986,200
987,200
988,200
989,200
990,200
991,200
992,200
993,200
994,200
995,200
996,200
997,200
998,200
999,200
1000,200
1001,200
1002,200
1003,200
1004,200
1005,200
1006,200
1007,200
1008,200
1009,200
1010,200
1011,200
1012,200
1013,200
1014,200
1015,200
1016,200
1017,200
1018,200
1019,200
1020,200
1021,200
1022,200
1023,200
1024,200
1025,200
1026,200
1027,200
1028,200
1029,200
1030,200
1031,200
1032,200
1033,200
1034,200
1035,200
1036,200
1037,200
1038,200
1039,200
1040,200
1041,200
1042,200
1043,200
1044,200
1045,200
1046,200
1047,200
1048,200
1049,200
1050,200
1051,200
1052,200
1053,200
1054,200
1055,200
1056,200
1057,200
1058,200
1059,200
1060,200
1061,200
1062,200
1063,200
1064,200
1065,200
1066,200
1067,200
1068,200
1069,200
1070,200
1071,200
1072,200
1073,200
1074,200
1075,200
1076,200
1077,200
1078,200
1079,200
1080,200
1081,200
1082,200
1083,200
1084,200
1085,200
1086,200
1087,200
1088,200
1089,200
1090,200
1091,200
1092,200
1093,200
1094,200
1095,200
1096,200
1097,200
1098,200
1099,200
1100,200
1101,200
1102,200
1103,200
1104,200
1105,200
1106,200
1107,200
1108,200
1109,200
1110,200
1111,200
1112,200
1113,200
1114,200
1115,200
1116,200
1117,200
1118,200
1119,200
1120,200
1121,200
1122,200
1123,200
1124,200
1125,200
1126,200
1127,200
1128,200
1129,200
1130,200
1131,200
1132,200
1133,200
1134,200
1135,200
1136,200
1137,200
1138,200
1139,200
1140,200
1141,200
1142,200
1143,200
1144,200
1145,200
1146,200
1147,200
1148,200
1149,200
1150,200
1151,200
1152,200
1153,200
1154,200
1155,200
1156,200
1157,200
1158,200
1159,200
1160,200
1161,200
1162,200
1163,200
1164,200
1165,200
1166,200
1167,200
1168,200
1169,200
1170,200
1171,200
1172,200
1173,200
1174,200
1175,200
1176,200
1177,200
1178,200
1179,200
1180,200
1181,200
1182,200
1183,200
1184,200
1185,200
1186,200
1187,200
1188,200
1189,200
1190,200
1191,200
1192,200
1193,200
1194,200
1195,200
1196,200
1197,200
1198,200
1199,200
1200,200
1201,200
1202,200
1203,200
1204,200
1205,200
1206,200
1207,200
1208,200
1209,200
1210,200
1211,200
1212,200
1213,200
1214,200
1215,200
1216,200
1217,200
1218,200
1219,200
1220,200
1221,200
1222,200
1223,200
1224,200
1225,200
1226,200
1227,200
1228,200
1229,200
1230,200
1231,200
1232,200
1233,200
1234,200
1235,200
1236,200
1237,200
1238,200
1239,200
1240,200
1241,200
1242,200
1243,200
1244,200
1245,200
1246,200
1247,200
1248,200
1249,200
1250,200
1251,200
1252,200
1253,200
1254,200
1255,200
1256,200
1257,200
1258,200
1259,200
1260,200
1261,200
1262,200
1263,200
1264,200
1265,200
1266,200
1267,200
1268,200
1269,200
1270,200
1271,200
1272,200
1273,200
1274,200
1275,200
1276,200
1277,200
1278,200
1279,200
1280,200
1281,200
1282,200
1283,200
1284,200
1285,200
1286,200
1287,200
1288,200
1289,200
1290,200
1291,200
1292,200
1293,200
1294,200
1295,200
1296,200
1297,200
1298,200
1299,200
1300,200
1301,200
1302,200
1303,200
1304,200
1305,200
1306,200
1307,200
1308,200
1309,200
1310,200
1311,200
1312,200
1313,200
1314,200
1315,200
1316,200
1317,200
1318,200
1319,200
1320,200
1321,200
1322,200
1323,200
1324,200
1325,200
1326,200
1327,200
1328,200
1329,200
1330,200
1331,200
